country,year,sex,age,suicides_no,population
Greece,1999,male,25-34 years,59.0,857189.0
Greece,1999,male,35-54 years,91.0,1443706.0
Greece,1999,male,5-14 years,0.0,617652.0
Greece,1999,male,55-74 years,83.0,1094110.0
Greece,1999,male,75+ years,34.0,281255.0
Greece,2000,female,15-24 years,10.0,749307.0
Greece,2000,female,25-34 years,14.0,834095.0
Greece,2000,female,35-54 years,25.0,1480524.0
Greece,2000,female,5-14 years,0.0,558509.0
Greece,2000,female,55-74 years,23.0,1252623.0
Greece,2000,female,75+ years,12.0,385499.0
Greece,2000,male,15-24 years,31.0,823264.0
Greece,2000,male,25-34 years,57.0,869669.0
Greece,2000,male,35-54 years,97.0,1462051.0
Greece,2000,male,5-14 years,2.0,599811.0
Greece,2000,male,55-74 years,81.0,1104634.0
Greece,2000,male,75+ years,30.0,283073.0
Greece,2001,female,15-24 years,2.0,735081.0
Greece,2001,female,25-34 years,5.0,838205.0
Greece,2001,female,35-54 years,19.0,1498616.0
Greece,2001,female,5-14 years,1.0,545693.0
Greece,2001,female,55-74 years,11.0,1266997.0
Greece,2001,female,75+ years,10.0,396780.0
Greece,2001,male,15-24 years,23.0,805944.0
Greece,2001,male,25-34 years,48.0,879100.0
Greece,2001,male,35-54 years,99.0,1482791.0
Greece,2001,male,5-14 years,2.0,584190.0
Greece,2001,male,55-74 years,84.0,1115264.0
Greece,2001,male,75+ years,30.0,292868.0
Greece,2002,female,15-24 years,4.0,711776.0
Greece,2002,female,25-34 years,11.0,836636.0
Greece,2002,female,35-54 years,17.0,1519280.0
Greece,2002,female,5-14 years,0.0,538762.0
Greece,2002,female,55-74 years,23.0,1281518.0
Greece,2002,female,75+ years,11.0,414749.0
Greece,2002,male,15-24 years,26.0,777333.0
Greece,2002,male,25-34 years,34.0,884877.0
Greece,2002,male,35-54 years,76.0,1507522.0
Greece,2002,male,5-14 years,0.0,573550.0
Greece,2002,male,55-74 years,87.0,1125984.0
Greece,2002,male,75+ years,34.0,310058.0
Greece,2003,female,15-24 years,7.0,689624.0
Greece,2003,female,25-34 years,11.0,833120.0
Greece,2003,female,35-54 years,24.0,1542002.0
Greece,2003,female,5-14 years,2.0,532273.0
Greece,2003,female,55-74 years,20.0,1290367.0
Greece,2003,female,75+ years,5.0,433159.0
Greece,2003,male,15-24 years,24.0,750890.0
Greece,2003,male,25-34 years,46.0,886959.0
Greece,2003,male,35-54 years,118.0,1534168.0
Greece,2003,male,5-14 years,0.0,564501.0
Greece,2003,male,55-74 years,85.0,1131929.0
Greece,2003,male,75+ years,33.0,326673.0
Greece,2004,female,15-24 years,2.0,669838.0
Greece,2004,female,25-34 years,12.0,828966.0
Greece,2004,female,35-54 years,24.0,1565494.0
Greece,2004,female,5-14 years,0.0,526979.0
Greece,2004,female,55-74 years,27.0,1293593.0
Greece,2004,female,75+ years,3.0,451960.0
Greece,2004,male,15-24 years,22.0,728622.0
Greece,2004,male,25-34 years,47.0,886382.0
Greece,2004,male,35-54 years,92.0,1561927.0
Greece,2004,male,5-14 years,2.0,557426.0
Greece,2004,male,55-74 years,75.0,1133084.0
Greece,2004,male,75+ years,47.0,343019.0
Greece,2005,female,15-24 years,9.0,648391.0
Greece,2005,female,25-34 years,14.0,825409.0
Greece,2005,female,35-54 years,28.0,1585529.0
Greece,2005,female,5-14 years,0.0,522714.0
Greece,2005,female,55-74 years,17.0,1294740.0
Greece,2005,female,75+ years,11.0,477592.0
Greece,2005,male,15-24 years,18.0,704916.0
Greece,2005,male,25-34 years,45.0,885307.0
Greece,2005,male,35-54 years,111.0,1587504.0
Greece,2005,male,5-14 years,2.0,551999.0
Greece,2005,male,55-74 years,90.0,1136008.0
Greece,2005,male,75+ years,55.0,362707.0
Greece,2006,female,15-24 years,4.0,628484.0
Greece,2006,female,25-34 years,12.0,821976.0
Greece,2006,female,35-54 years,25.0,1601492.0
Greece,2006,female,5-14 years,1.0,517798.0
Greece,2006,female,55-74 years,17.0,1298840.0
Greece,2006,female,75+ years,9.0,503415.0
Greece,2006,male,15-24 years,21.0,681537.0
Greece,2006,male,25-34 years,47.0,883789.0
Greece,2006,male,35-54 years,115.0,1608391.0
Greece,2006,male,5-14 years,0.0,547604.0
Greece,2006,male,55-74 years,83.0,1141985.0
Greece,2006,male,75+ years,60.0,383580.0
Greece,2007,female,15-24 years,5.0,611207.0
Greece,2007,female,25-34 years,12.0,816668.0
Greece,2007,female,35-54 years,20.0,1617694.0
Greece,2007,female,5-14 years,0.0,514330.0
Greece,2007,female,55-74 years,12.0,1305992.0
Greece,2007,female,75+ years,11.0,522951.0
Greece,2007,male,15-24 years,19.0,660913.0
Greece,2007,male,25-34 years,47.0,880293.0
